Generic,Brand,Class,Adverse reactions,Mechanism
"3,4-methylenedioxymethamphetamine (mdma)",DESOXYN,Central Nervous System Stimulant,"Cardiac Disease Increased Blood Pressure and Heart Rate Psychiatric Adverse Reactions Long-Term Suppression of Growth in Pediatric Patients Peripheral Vasculopathy, including Raynaud’s Phenomenon Seizures see Warnings and Precautions Serotonin Syndrome Motor and Verbal Tics, and Worsening of Tourette’s Syndrome The following adverse reactions associated with the use of methamphetamine were identified in clinical trials or postmarketing reports. Because these reactions were reported voluntarily from a population of uncertain size, it is not always possible to reliably estimate their frequency or establish a causal relationship to drug exposure. Cardiovascular Elevation of blood pressure, tachycardia and palpitation. Fatal cardiorespiratory arrest has been reported, mostly in the context of abuse/misuse Central Nervous System Psychotic episodes reported at recommended doses. Dizziness, dysphoria, overstimulation, euphoria, insomnia, tremor, restlessness and headache. Exacerbation of moto",Amphetamines are non-catecholamine sympathomimetic amines with CNS stimulant activity. The exact mode of therapeutic action in the treatment of ADHD is not known.
acamprosate,,Alcohol use disorder agent,"Nervous System Anxiety Depression Dizziness Dry mouth Insomnia Paresthesia Skin and Appendages Pruritus Sweating includes events coded as “fracture” by sponsor; includes events coded as “nervousness” by sponsor includes patients treated with acamprosate calcium using a different dosage strength and regimen. includes all patients in the first two columns as well as patients treated with acamprosate calcium using a different dosage strength and regimen. Concomitant Therapies In clinical trials, the safety profile in subjects treated with acamprosate calcium concomitantly with anxiolytics, hypnotics and sedatives (including benzodiazepines), or non-opioid analgesics was similar to that of subjects taking with these concomitant medications. Patients taking acamprosate calcium concomitantly with antidepressants more commonly reported both weight gain and weight loss, compared with patients taking either medication alone. Other Events Observed During the Premarketing Evaluation of Acamprosat",The mechanism of action of acamprosate in maintenance of alcohol abstinence is not completely understood. Chronic alcohol exposure is hypothesized to alter the normal balance between neuronal excitation and inhibition.
agomelatine,ROZEREM,Melatonin Receptor Agonist,. Incidence of subjects) of Treatment-Emergent Adverse Events MedDRA Ramelteon Somnolence Fatigue Dizziness Nausea Insomnia exacerbated,"Ramelteon is a melatonin receptor agonist with both high affinity for melatonin MT 1 and MT 2 receptors and relative selectivity over the MT 3 receptor. The activity of ramelteon at the MT 1 and MT 2 receptors is believed to contribute to its sleep-promoting properties, as these receptors, acted upon by endogenous melatonin, are thought to be involved in the maintenance of the circadian rhythm underlying the normal sleep-wake cycle."
alcohol,,Illicit psychoactive substance,"If irritation or rash appears and persists, stop use and see a physician.",
alprazolam,XANAX,Benzodiazepine,Nervous system disorders Drowsiness Light-headedness Dizziness Akathisia Gastrointestinal disorders Dry mouth Increased salivation Cardiovascular disorders Hypotension Skin and subcutaneous tissue disorders Dermatitis/allergy Adverse Reactions Occuring in ≥1% in Alprazolam-treated Patients and Greater than -treated Patients in -Controlled Trials (Up to Weeks) for Panic Disorder Alprazolam Drowsiness Fatique and Tiredness Impaired Coordination Irritability Memory Impairment Cognitive Disorder Decreased Libido Dysartharia Confusional state Increased libido Change in libido (not specified) Disinhibition Talkativeness Derealization Gastrointestinal disorders Constipation Increased salivation Skin and subcutaneous tissue disorders Rash Other Increased appetite Decreased appetite Weight gain Weight loss Micturition difficulties Menstrual disorders Sexual dysfunction Incontinence Discontinuation-Emergent Symptom Incidence Reported in ≥5% of Alprazolam-treated Patients and > -treated Patients,"Alprazolam exerts its effect for the acute treatment of generalized anxiety disorder and panic disorder through binding to the benzodiazepine site of gamma-aminobutyric acid-A (GABA A ) receptors in the brain and enhances GABA-mediated synaptic inhibition. Alprazolam is a 1,4 benzodiazepine."
amantadine,GOCOVRI; OSMOLEX,NMDA receptor antagonist,"Psychiatric disorders Hallucinations a Anxiety b Insomnia Depression/Depressed mood Abnormal dreams Confusional state Nervous system disorders Dizziness Headache Dystonia Gastrointestinal disorders Dry mouth Constipation Nausea Vomiting General disorders and administration site conditions Peripheral edema Gait disturbance Injury, poisoning and procedural complications Fall Contusion Infections and infestations Urinary tract infection Skin and subcutaneous tissue disorders Livedo reticularis Pigmentation disorder Metabolism and nutrition disorders Decreased appetite Vascular disorders Orthostatic hypotension c Eye disorders Blurred vision Cataract Dry eye Musculoskeletal and connective tissue disorders Joint swelling Muscle spasms Reproductive system and breast disorders Benign prostatic hyperplasia d Respiratory, thoracic and mediastinal disorders Cough","The mechanism by which amantadine exerts efficacy in the treatment of dyskinesia in patients with Parkinson's disease or as adjunctive treatment to levodopa/carbidopa in patients with Parkinson's disease experiencing ""off"" episodes is unknown. Amantadine is a weak uncompetitive antagonist of the NMDA receptor."
amisulpride,BARHEMSYS,Antiemetic,"Cardiac disorders bradycardia, torsades de pointes, ventricular tachycardia, prolonged QT by electrocardiogram General disorders neuroleptic malignant syndrome Immune system disorders angioedema, hypersensitivity, urticaria Hepatic disorders increased hepatic enzymes Nervous system disorders agitation, anxiety, dystonia, extrapyramidal disorder, seizure Psychiatric disorders confusional state, insomnia, somnolence Vascular disorders hypotension",Amisulpride is a selective dopamine-2 (D 2 ) and dopamine-3 (D 3 ) receptor antagonist. D 2 receptors are located in the chemoreceptor trigger zone (CTZ) and respond to the dopamine released from the nerve endings.
amitriptyline,ELAVIL,Tricyclic Antidepressant,"Gastrointestinal: Rarely hepatitis (including altered liver function and jaundice); nausea; epigastric distress; vomiting; anorexia; stomatitis; peculiar taste; diarrhea; parotid swelling; black tongue. Endocrine: Testicular swelling and gynecomastia in the male; breast enlargement and galactorrhea in the female; increased or decreased libido; impotence; elevation and lowering of blood sugar levels. Other: Alopecia; edema; weight gain or loss; urinary frequency; increased perspiration, hyponatremia. Withdrawal Symptoms After prolonged administration, abrupt cessation of treatment may produce nausea, headache, and malaise. Gradual dosage reduction has been reported to produce, within two weeks, transient symptoms including irritability, restlessness, and dream and sleep disturbance. These symptoms are not indicative of addiction. Rare instances have been reported of mania or hypomania occurring within to days following cessation of chronic therapy with tricyclic antidepressants. Causal",Its mechanism of action in man is not known. It is not a monoamine oxidase inhibitor and it does not act primarily by stimulation of the central nervous system.
amobarbital,AMYTAL,Barbiturate,,
amoxapine,,Tricyclic Antidepressant,"Gastrointestinal: nausea. Other: dizziness, headache, fatigue, weakness, excessive appetite, increased perspiration. Incidence Less Than Anticholinergic: disturbances of accommodation, mydriasis, delayed micturition, urinary retention, nasal stuffiness. Cardiovascular: hypotension, hypertension, syncope, tachycardia. Allergic: drug fever, urticaria, photosensitization, pruritus, vasculitis, hepatitis. CNS and Neuromuscular: tingling, paresthesias of the extremities, tinnitus, disorientation, seizures, hypomania, numbness, incoordination, disturbed concentration, hyperthermia, extrapyramidal symptoms, including, tardive dyskinesia. Neuroleptic malignant syndrome has been reported. (See WARNINGS .) Hematologic: leukopenia, agranulocytosis. Gastrointestinal: epigastric distress, vomiting, flatulence, abdominal pain, peculiar taste, diarrhea. Endocrine: increased or decreased libido, impotence, menstrual irregularity, breast enlargement and galactorrhea in the female, syndrome of inappropr","The mechanism of its clinical action in man is not well understood. In animals, amoxapine reduced the uptake of norepinephrine and serotonin and blocked the response of dopamine receptors to dopamine."
